SKU,Barcode,Slug,Title,Status,Product Description,Stock Status,Quantity,Collections,Category,Sub Category,Settings/Size,Featured,Backorders allowed,Sold Individually,HUID,Min shipping days,Max shipping days,Metal Type,Metal Color,Gold Purity,Gold Gross,Gold Net,Silver Purity,Silver Gross,Silver Net,Platinum Purity,Platinum Gross,Platinum Net,Diamond From,Diamond Weight,Diamond Pieces,Diamond Type,Diamond Quality,Diamond Shapes,Diamond Cut,Custom Diamond Rate,Diamond Certified,Diamond Lab,Diamond Certificate ID,Gemstone From,Gemstone Quality,Gemstone Shape,Gemstone Type,Gemstone Size,Gemstone Pieces,Gemstone Weight,Custom Gemstone Rate,Gemstone Color,No. of Lines,Length,Closure Type,Pearl Type,Pearl Setting Type,Pearl Size,Pearl Pieces,Pearl Weight,Labour Type,Labour From,Per Gram,Wastage From,Wastage in (%),Minimum Making,Extra Charge Type,Extra Charge Value,SEO Title,SEO Description,SEO Keywords,Width (in mm),Height (in mm),Thickness (in mm),Tags,Gender,Ocassions,Manual Product Price (MRP),Sale Price,Automatic Price,Disable Customization,Upsell,Cross Sell,Images,Images Links,Video URL,Product Link,Rings Size,Bangles and Bracelet Size,Product Length
AIR-721,,air-721,AIR-721,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,5,4.8,,,,,,,customize,1.000,45,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123300,,,,"AIR-721,AIR-721","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-721.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-721.jpg",,,,,
AIR-627,,air-627,AIR-627,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,4.93,4.894,,,,,,,customize,0.180,4,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56072,,,,"AIR-627,AIR-627","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-627.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-627.jpg",,,,,
AIR-2363,,air-2363,AIR-2363,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,3.84,3.8,,,,,,,customize,0.198,10,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48372,,,,"AIR-2363,AIR-2363","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2363.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2363.jpg",,,,,
AIR-596,,air-596,AIR-596,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,4.092,4,,,,,,,customize,0.458,86,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71619,,,,"AIR-596,AIR-596","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-596.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-596.jpg",,,,,
AIR-2337,,air-2337,AIR-2337,publish,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,7.125,7,,,,,,,individual,0.624,33,Natural,VS2-DE,Round,Good,78900,no,,,master,,,,,,,,,,,,,,,,,master,gross,399,,10,,,,,,,,,,,,,,98527,98527,no,,,"AIR-2337,AIR-2337","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2337.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2337.jpg",,https://tiarabytj.com/product/air-2337/,,,
AIR-2332,,air-2332,AIR-2332,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,9.091,9,,,,,,,customize,0.453,18,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113238,,,,"AIR-2332,AIR-2332","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2332.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2332.jpg",,,,,
AIR-2316,,air-2316,AIR-2316,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,4.046,4,,,,,,,customize,0.232,4,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52868,,,,"AIR-2316,AIR-2316","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2316.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2316.jpg",,,,,
AIR-2315,,air-2315,AIR-2315,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,4.546,4.5,,,,,,,customize,0.232,4,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57070,,,,"AIR-2315,AIR-2315","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2315.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2315.jpg",,,,,
AIR-2303,,air-2303,AIR-2303,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,4.567,4.5,,,,,,,customize,0.336,16,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65698,,,,"AIR-2303,AIR-2303","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2303.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2303.jpg",,,,,
AIR-2285,,air-2285,AIR-2285,draft,,instock,1,"Diamond Jewellery,Gold Jewellery",BANGLE,,,,,,,5,10,gold,yellow,22KT,4.572,4.5,,,,,,,customize,0.360,9,Natural,VS2-DE,Round,Good,78900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67692,,,,"AIR-2285,AIR-2285","https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2285.jpg,https://tiarabytj.com/wp-content/uploads/sites/27/2024/05/AIR-2285.jpg",,,,,
